backend,experiment,exp_id,mean_input_tokens,mean_output_tokens,concurrency,model,ttft_p50_s,ttft_p95_s,ttft_p99_s,ttft_mean_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,e2e_mean_s,output_tokens_per_s,requests_per_s,num_completed_requests,num_requests_started,error_rate,num_errors,summary_path,gpu_util_mean,gpu_mem_used_mb_mean,gpu_power_w_mean,cpu_pct_mean,ram_pct_mean,billing,billing_label,cost_per_hour_usd,approx_duration_s,approx_total_cost_usd,cost_per_request_usd,cost_per_1m_output_tokens_usd
bedrock,output_length,output_length_c1_in512_out1024,512,1024,1,Qwen/Qwen2.5-7B-Instruct,0.2925536460006697,0.5112819626503551,0.5186529812492882,0.3217991917002412,4.717171520500415,5.346827259751444,5.409000962958962,4.343862981800339,88.21346876458615,0.2291655752457208,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/output_length_c1_in512_out1024/Qwen-Qwen2-5-7B-Instruct_512_1024_summary.json,,,,,,cmu,CMU (active copy),6.8616,130.90971437500053,0.5718,0.01906,18.61328125
bedrock,output_length,output_length_c1_in512_out128,512,128,1,Qwen/Qwen2.5-7B-Instruct,0.2962384585007385,0.5118357749995989,2.3101141325009324,0.4017214973329828,1.8563749790009751,1.9750591151003392,3.6614477157901657,1.942206262466425,77.86829757300899,0.5098317169773613,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/output_length_c1_in512_out128/Qwen-Qwen2-5-7B-Instruct_512_128_summary.json,,,,,,cmu,CMU (active copy),6.8616,58.84294562500145,0.5718,0.01906,148.90625
bedrock,output_length,output_length_c1_in512_out256,512,256,1,Qwen/Qwen2.5-7B-Instruct,0.3489383124997403,0.6953241167013401,0.7550707794991832,0.3882166153668853,2.611405792000369,3.6034022525993343,3.7828230227501263,2.7275159001669333,83.39804699267988,0.3640776207480204,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/output_length_c1_in512_out256/Qwen-Qwen2-5-7B-Instruct_512_256_summary.json,,,,,,cmu,CMU (active copy),6.8616,82.40001112499887,0.5718,0.01906,74.453125
bedrock,output_length,output_length_c1_in512_out512,512,512,1,Qwen/Qwen2.5-7B-Instruct,0.3250200620022951,0.5512639786513317,0.6592432467124674,0.3449192097332949,4.819146833999184,5.450263618448662,5.577754803932112,4.634082486033246,88.46076404666968,0.2148844470769304,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/output_length_c1_in512_out512/Qwen-Qwen2-5-7B-Instruct_512_512_summary.json,,,,,,cmu,CMU (active copy),6.8616,139.6099178330005,0.5718,0.01906,37.2265625
ecs,output_length,output_length_c1_in512_out1024,512,1024,1,Qwen/Qwen2.5-7B-Instruct,0.2418365629982872,0.435811370652118,0.5103654453222771,0.2696828125335742,12.35809183350102,14.028995818899055,14.205574655361708,11.807960172133244,34.04634899874258,0.0845451924478335,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/output_length_c1_in512_out1024/Qwen-Qwen2-5-7B-Instruct_512_1024_summary.json,,,,,,hourly,Hourly,1.006,354.8398097089997,0.09915801349090382,0.0033052671163634607,3.2277999183236923
ecs,output_length,output_length_c1_in512_out128,512,128,1,Qwen/Qwen2.5-7B-Instruct,0.189294437501303,0.2810008793494489,0.2870129062900014,0.198347816666804,4.456723499501095,4.589500547249827,4.612440548140985,4.462813377600105,34.08244201755289,0.2231499913851127,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/output_length_c1_in512_out128/Qwen-Qwen2-5-7B-Instruct_512_128_summary.json,,,,,,hourly,Hourly,1.006,134.43872354100134,0.037568154411735374,0.0012522718137245126,9.783373544722755
ecs,output_length,output_length_c1_in512_out256,512,256,1,Qwen/Qwen2.5-7B-Instruct,0.2325534164992859,0.382047708300979,0.4969020988910234,0.2703961000002285,6.5240582084989,8.924400691850497,8.95224330200026,6.7547353333335804,33.727778737898,0.1476266942131514,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/output_length_c1_in512_out256/Qwen-Qwen2-5-7B-Instruct_512_256_summary.json,,,,,,hourly,Hourly,1.006,203.2152800000004,0.05678738102222233,0.0018929127007407444,7.394190237268533
ecs,output_length,output_length_c1_in512_out512,512,512,1,Qwen/Qwen2.5-7B-Instruct,0.2696906460005266,0.4300078462001691,0.4786946066804376,0.2927872485330833,12.917174582998996,14.228446143899964,14.29926158750146,12.183748219366558,33.99557963085771,0.0819499709863986,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/output_length_c1_in512_out512/Qwen-Qwen2-5-7B-Instruct_512_512_summary.json,,,,,,hourly,Hourly,1.006,366.0770057499979,0.10229818549569386,0.003409939516523129,6.660038118209236
selfhost,output_length,output_length_c1_in512_out1024,512,1024,1,Qwen/Qwen2.5-7B-Instruct,0.1809505005003302,0.303117797950199,0.3171858080703896,0.1962417944666109,7.482432104499821,8.36055988094904,8.413021034639495,7.0170033832665775,56.50824769301178,0.1421233593888626,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/output_length_c1_in512_out1024/Qwen-Qwen2-5-7B-Instruct_512_1024_summary.json,,,,,,electricity,Electricity,0.0525,211.08423083299934,0.003078311699647907,0.00010261038998826357,0.10020545897291365
selfhost,output_length,output_length_c1_in512_out128,512,128,1,Qwen/Qwen2.5-7B-Instruct,0.1292386664999867,0.2320777687496956,0.2455306812501112,0.1373954555998958,2.6656661254992287,2.8260994042003404,2.8612833336092445,2.6823276429999168,56.72342260036799,0.3703379059871686,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/output_length_c1_in512_out128/Qwen-Qwen2-5-7B-Instruct_512_128_summary.json,,,,,,electricity,Electricity,0.0525,81.00710058299956,0.0011813535501687435,3.937845167229145e-05,0.30764415368977693
